plunge,trend,Ts,Td,Sf,tau,sigmaN,muOA
82.00,282.00,0.206,0.993,22.76, 1.42,25.13,6.695
63.00,360.00,0.789,0.826,17.98, 6.09,28.14,33.797
58.00,360.00,0.837,0.765,18.03, 6.72,29.22,39.957
76.00,233.00,0.481,0.962,20.03, 3.39,25.69,16.362
52.00,28.00,0.943,0.624,18.06, 8.22,31.76,56.311
85.00,31.00,0.321,0.984,21.57, 2.23,25.28,10.564
34.00,134.00,0.687,0.414,24.37, 6.71,35.54,75.789
74.00,331.00,0.487,0.948,20.15, 3.47,25.93,17.048
20.00,160.00,0.419,0.313,30.21, 4.30,37.37,-88.294
16.00,162.00,0.339,0.283,32.02, 3.53,37.91,-79.259
80.00,252.00,0.313,0.985,21.65, 2.17,25.27,10.274
82.00,248.00,0.229,0.992,22.51, 1.58,25.14,7.431
82.00,95.00,0.467,0.964,20.17, 3.28,25.64,15.807
6.00,297.00,0.279,0.151,35.14, 3.08,40.27,-45.461
74.00,220.00,0.546,0.947,19.47, 3.89,25.96,19.037
77.00,191.00,0.431,0.963,20.61, 3.04,25.67,14.705
3.00,250.00,0.160,0.011,39.66, 1.88,42.80,-18.736
